名称,拼音,英文名,拉丁名,类别,来源,产地,性状,品质,性味,功效
合欢花,Hehuanhua,Silktree Albizia Flower,Albiziae Flos,花类,豆科植物合欢Albizia julibrissin Durazz.的干燥花序。,主产河南、河北、陕西、江苏、浙江等地。,呈卷筒状或浅槽状，粗细长短不一，长15~50cm，厚0.2~0.3cm。外表在炭绿色或灰棕色，稍有纵皱纹，横向皮孔密生，椭圆形，棕红色，偶有突起的横棱或较大的圆形绝痕 (侧枝痕) 。内表面淡黄色，有细纵纹。质硬而脆，断面黄白色，呈纤维性刺片状。气微，味涩而微苦，稍刺舌，而后喉头有不适感。,以表皮细密、内皮色黄、味涩有刺舌感者为佳。,甘，平。,舒郁、理气、安神、活络、养血、滋阴肾、清心明目。
槐花,Huaihua,Black Locust Flower,Sophorae Flos,花类,豆科植物槐Sophora japonica L. 的干燥花及花蕾。,主产于河南、河北、山西、山东等地。,皱缩而卷曲，花瓣多散落，完整者花萼钟状，黄绿色，花瓣黄色或黄白色。体轻。味微苦。花蕾 (槐米) 卵形或椭圆形。花萼黄绿色，上方为未开放的黄白色花瓣，内呈黄褐色。质轻。味微苦涩。,以黄绿色、粒大、紧实者为佳。,苦，微寒。,凉血止血，清肝泻火。主治肠风便血，痔血，血痢，尿血，血淋，崩漏，吐血，衄血，肝火头痛，目赤肿痛，喉痹，失音，痈疽疮疡。
鸡蛋花,Jidanhua,Mexican Frangipani Flower,Plumeriae Acutifoliae Flos,花类,夹竹桃科植物鸡蛋花Plumeria rubra L. cv. Acutifolia的干燥花。,主产云南、广东、福建、海南、台湾等地。,干燥花朵，黄褐色至棕褐色，皱缩，主要为5枚大形旋转排列的花瓣。花瓣倒卵形，长约3cm，宽约1.5cm；下部合生成细管，长约1.5cm。内藏雄蕊5，花丝极短；有时可见小的卵状子房。气醇香，味清淡稍苦。,以净花、干燥、色黄褐、气芳香者为佳。,甘，平。,清热解暑、清肠止泻、止咳化痰。主治中暑、痢疾、腹痛、咳嗽。
鸡冠花,Jiguanhua,Cockscomb Flower,Celosiae Cristatae Flos,花类,苋科植物鸡冠花Celosia cristata L.的干燥花。,原产非洲，美洲热带和印度，现全国大部分地区有栽培。,本品为穗状花序，多扁平而肥厚，呈鸡冠状。长8~25cm，宽5~20cm，最大直径40cm。上缘宽，具皱褶，密生线状鳞片，下端渐窄，常残留扁平的茎。表面红色、紫红色或黄白色；中部以下密生多数小花，每花宿存的苞片及花被片均呈膜质。果实盖裂，种子扁圆肾形，黑色，有光泽。体轻，质柔韧。无臭，味淡。,以色泽鲜艳、朵大而扁者为佳。,甘、涩，微寒。,收敛止血，止带，止痢。用于吐血，崩漏，便血，痔血，赤白带下，久痢不止。
金银花,Jinyinhua,Japanese Honysuckle Flower Bud,Lonicerae Japonicae Flos,花类,忍冬科植物忍冬Lonicera japonica Thunb. 的干燥花蕾或待初开的花朵。,主产河南、山东等地。,本品呈棒状，上粗下细，略弯曲，长2~3cm，上部直径3mm，下部直径1.5mm，表面黄白色或绿白色，密被短柔毛。偶见叶状苞片，花萼绿色、先端5裂，裂片有毛，长约2mm，开放者花冠筒状，先端二唇形，雄蕊5附于筒壁，黄色；雌蕊1个，子房无毛，气清香，味淡微苦。,以花蕾多、色淡、柔软气清香者为佳。,甘，寒。,宣散风热，清热解毒。用于各种热性病，如身热、发疹、发斑、热毒疮痈、咽喉肿痛等证。
菊花,Juhua,Florists Dendranthema,Chrysanthemi Flos,花类,菊科植物菊Chrysanthemum morifolium Ramat.的干燥头状花序。按产地和加工方法不同分为“杭菊”、“亳菊”、“贡菊”、“滁菊”。,主产于浙江、安徽等地。,杭菊：花序扁球形、不规则球形或稍压扁，直径多1.5~4cm。总苞由3~4层苞片组成，外围为数层舌状花，类白色或黄色，中央为管状花。气清香，味甘、微苦。亳菊：呈倒圆锥形或圆筒形，有时稍压扁呈扇状，直径1.5~3cm。离散。舌状花位于外围，雌性，类白色或淡黄白色，劲直，上举。散生金黄色腺点。管状花多数，两性，位于中央，常为舌状花所隐藏，黄色，顶端5齿裂。体轻，质柔润。气清香，味甘，微苦。贡菊：舌状花白色或类白色，总苞碟状；总苞片4~5层，三角状卵形，绿色，蒂绿，花心小，均匀不散朵，质柔软，气芳香，味甘微苦。滁菊：呈不规则球形或扁球形，直径1.5~2.5cm，舌状花类白色，不规则扭曲，内卷，边缘皱缩，有时可见淡褐色的腺点，管状花大多隐藏。是菊花中花瓣最为紧密的一种。,以花朵完整、颜色鲜艳、清香者为佳。,苦，微寒。,清热解毒，平肝明目；疏风散热。
款冬花,Kuandonghua,Common Coltsfoot Flower,Farfarae Flos,花类,菊科植物款冬Tussilago farfara L.的干燥花蕾。,主产甘肃、陕西、山西、河南等地。,款冬花花蕾呈捧状或长椭圆形，单一或2~3并生，有时可达5朵，俗称“连三朵”。一般长约1~3cm，直径约0.5~0.8cm。花蕾及花柄上包有粉紫 色或淡棕褐色鳞状苞片数层。鳞状苞片包裹着黄棕色未成形的细小舌状及管状花如蜘蛛丝样的紫状物。气清香，味微苦辛，嚼之如絮。,以2~3朵并连、蕾大、身干、色紫红、梗极短、无开放花朵者为佳。,辛、微苦，温。,化痰止咳，镇咳下气，润肺祛痰，降逆止呕。主治咳嗽，气喘，肺痿，咳吐痰血等症。
凌霄花,Lingxiaohua,Chinese Trumpetcreeper,Campsis Flos,花类,紫葳科植物美洲凌霄Campsis radicans (L.) Seem.或凌霄Campsis grandiflora (Thunb.) K. Schum.的干燥花。,原产北美洲，现亦产于华东、华中地区。,美洲凌霄：黄褐色至棕褐色，多皱缩卷曲。完整花朵长6~7cm。萼筒长1.5~2cm，硬革质，先端5齿裂，裂片短三角状，长约为萼筒的1/3，萼筒外无明显的纵棱；花冠内表面具明显的深棕色脉纹。凌霄花：多皱缩卷曲，黄褐色至棕褐色，完整花朵长4~5cm。萼筒钟状，长2~2.5cm，裂片5，裂至中部，萼筒基部至萼齿尖有5条纵棱。花冠先端5裂，裂片半圆形，下部联合呈漏斗状，表面可见细脉纹，内表面较明显。雄蕊4，着生在花冠上，2长2短，花药个字形，花柱1，柱头扁平。气清香，味微苦、酸。蒴果长如荚，顶端钝。,以完整、朵大、棕黄色者为佳。,甘、酸，寒。,行血去瘀，凉血祛风。用于经闭癓瘕，产后乳肿，风疹发红，皮肤瘙痒，痤疮。
玫瑰花,Meiguihua,Rose,Rosae Rugosae Flos,花类,蔷薇科植物玫瑰Rosa rugosa Thunb.的干燥花蕾。,主产甘肃、江苏、浙江、河南等地。,本品略呈半球形或不规则团状，直径1~2.5cm。花托半球形，与花萼基部合生；萼片5，披针形，黄绿色或棕绿色，被有细柔毛；花瓣多皱缩，展平后宽卵形，呈覆瓦状排列，紫红色，有的黄棕色；雄蕊多数，黄褐色。体轻，质脆。气芳香浓郁，味微苦涩。,以完整、朵大、瓣厚、不露蕊、香气浓、鲜紫色者佳。,甘、微苦，温。,行气解郁，和血，止痛。用于肝胃气痛，食少呕恶，月经不调，跌扑伤痛。
闹羊花,Naoyanghua,Chinese Azalea Flower,Rhododendri Mollis Flos,花类,杜鹃花科植物羊踟躅Rhododendron molle G. Don的干燥花。,主产江苏、浙江、河南、江西等地。,花多皱缩。花梗灰白色，长短不等。花萼5裂，边缘有较长的细毛。花冠钟状，长至3cm，5裂，顶端卷折，表面疏生短柔毛，灰黄色至黄褐色。雄蕊较花冠为长，弯曲，露出花冠外，花药棕黄色，2室，孔裂。商品不带子房，花等及花梗也常除去。气微，味微苦。,以花灰黄色、不霉、无其他混杂物为佳。,辛，温，有毒。,驱风，除湿，消肿，止痛。治风寒湿痹，跌打损伤，痔漏，癣疮。
蒲黄,Puhuang,Cattail Pollen,Typhae Pollen,花类,香蒲科植物水烛香蒲Typha angustifolia L.的干燥花粉。,主产江苏、安徽、浙江、山东等地。,花粉为黄色粉末。体轻，放水中则飘浮水面。手捻有骨腻感，易附着手指上，气微，味淡。花粉粒类圆形或椭圆形，直径17~29μm，表面有网状雕纹，周边轮廓线光滑，呈凸波状或齿轮状，具单孔，不甚明显。,以粉细、纯净、体轻、色鲜黄、滑腻感强者为佳。,甘、平。,止血，化瘀，通淋。用于吐血、衄血、咯血、崩漏、外伤出血、经闭、痛经、脘腹刺痛、跌打肿痛、血淋湿痛。
山银花,Shanyinhua,Wild Honeysuckle Flower Bud,Lonicerae Flos,花类,忍冬科植物灰毡毛忍冬Lonicera macranthoides Hand.-Mazz.、红腺忍冬Lonicera hypoglauca Miq.、山银花Lonicera confusa DC.的干燥花蕾或待初开的花。,主产中南、西南地区。,呈棒状而销弯，长3~4.5cm，上部直径2mm，下部直径1mm，表面绿棕色至黄白色。总花梗集结成簇。开放者花冠裂片，不及全长之半，质稍硬，手捏之稍有弹性，气清香，味微苦甘。,以绿棕色、含苞待放、香气浓者为佳。,甘，寒。,清热解毒、凉散风热。
夏枯草,Xiakucao,Common Selfheal Spike,Prunellae Spica,花类,唇形科植物夏枯草Prunella vulgaris L.的干燥果穗。,主产于江苏、安徽、河南等地。,该品呈棒状，略扁，长1.5~8cm，直径0.8~1.5cm，淡棕色至棕红色。全穗由数轮至10数轮宿萼与苞片组成，每轮有对生苞片2 片，呈扇形，先端尖尾状，脉纹明显，外表面有白毛。每一苞片内有花3 朵，花冠多已脱落，宿萼二唇形，内有小坚果4枚，卵圆形，棕色，尖端有白色突起。体轻质脆，微有清香气，味淡。,以色紫褐、穗大者为佳。,辛、苦，寒。,清火明目，散结消肿。治目赤肿痛、头痛、瘰疬、瘿瘤、乳痈肿痛。
辛夷,Xinyi,Biod Magnolia Bud,Magnoliae Flos,花类,木兰科植物望春花Magnolia biondii Pamp.、玉兰Magnolia denudata Desr. 及武当玉兰Magnolia sprengeri Pamp.的干燥花蕾。,主产于安徽、河南、湖北等地。,望春花：该品呈长卵形，似毛笔头，长1.2~2.5cm，直径0.8~1.5cm。基部常具短梗，长约5mm，梗上有类白色点状皮孔。苞片2~3层，每层2片，两层苞片间有小鳞芽，苞片外表面密被灰白色或灰绿色茸毛，内表面类棕色，无毛。花被片9，类棕色，外轮花被片3，条形，约为内两轮长的1/4，呈萼片状，内两轮花被片6，每轮3，轮状排列。雄蕊和雌蕊多数，螺旋状排列。体轻，质脆。气芳香，味辛凉而稍苦。玉兰：长1.5~3cm，直径1~1.5cm。基部枝梗较粗壮，皮孔浅棕色。苞片外表面密被灰白色或灰绿毛茸毛。花被片9，内外轮同型。武当玉兰：长2~4cm，直径1~2cm。枝梗粗壮，皮孔红棕色。苞片外表面密被淡黄色或淡黄绿色茸毛，有的最外层苞片茸毛已脱落而呈黑褐色。花被片10~12~15，内外轮无显著差异。,以花蕾未绽、紧实、完整、无枝梗、香气浓者为佳。,辛，温。,祛风，通窍。治头痛，鼻渊，鼻塞不通，齿痛。
